id,label,vertex.id,team,onset,onset.censored,terminus,terminus.censored,duration
Len Chappell,Len Chappell,340,ATL,,FALSE,,FALSE,
Lenny Wilkens,Lenny Wilkens,341,ATL,,FALSE,,FALSE,
Leo Rautins,Leo Rautins,342,ATL,,FALSE,,FALSE,
Leon Smith,Leon Smith,343,ATL,,FALSE,,FALSE,
Leon Wood,Leon Wood,344,ATL,,FALSE,,FALSE,
Lew Hitch,Lew Hitch,345,ATL,,FALSE,,FALSE,
Lorenzen Wright,Lorenzen Wright,346,ATL,,FALSE,,FALSE,
Lorenzo Charles,Lorenzo Charles,347,ATL,,FALSE,,FALSE,
Lou Hudson,Lou Hudson,348,ATL,,FALSE,,FALSE,
Lou Williams,Lou Williams,349,ATL,,FALSE,,FALSE,
Luke Babbitt,Luke Babbitt,350,ATL,,FALSE,,FALSE,
Mac Otten,Mac Otten,351,ATL,,FALSE,,FALSE,
Malcolm Delaney,Malcolm Delaney,352,ATL,,FALSE,,FALSE,
Mamadou N'Diaye,Mamadou N'Diaye,353,ATL,,FALSE,,FALSE,
Marco Belinelli,Marco Belinelli,354,ATL,,FALSE,,FALSE,
Mario West,Mario West,355,ATL,,FALSE,,FALSE,
Mark Landsberger,Mark Landsberger,356,ATL,,FALSE,,FALSE,
Mark Strickland,Mark Strickland,357,ATL,,FALSE,,FALSE,
Mark West,Mark West,358,ATL,,FALSE,,FALSE,
Mark Workman,Mark Workman,359,ATL,,FALSE,,FALSE,
Marvin Williams,Marvin Williams,360,ATL,,FALSE,,FALSE,
Matt Bullard,Matt Bullard,361,ATL,,FALSE,,FALSE,
Matt Freije,Matt Freije,362,ATL,,FALSE,,FALSE,
Matt Maloney,Matt Maloney,363,ATL,,FALSE,,FALSE,
Maurice Cheeks,Maurice Cheeks,364,ATL,,FALSE,,FALSE,
Maurice Evans,Maurice Evans,365,ATL,,FALSE,,FALSE,
Max Zaslofsky,Max Zaslofsky,366,ATL,,FALSE,,FALSE,
Med Park,Med Park,367,ATL,,FALSE,,FALSE,
Mel Hutchins,Mel Hutchins,368,ATL,,FALSE,,FALSE,
Michael Bradley,Michael Bradley,369,ATL,,FALSE,,FALSE,
Michael Stewart,Michael Stewart,370,ATL,,FALSE,,FALSE,
Michael Wilson,Michael Wilson,371,ATL,,FALSE,,FALSE,
Mike Bibby,Mike Bibby,372,ATL,,FALSE,,FALSE,
Mike Dunleavy Jr.,Mike Dunleavy Jr.,373,ATL,,FALSE,,FALSE,
Mike Farmer,Mike Farmer,374,ATL,,FALSE,,FALSE,
Mike Glenn,Mike Glenn,375,ATL,,FALSE,,FALSE,
Mike McGee,Mike McGee,376,ATL,,FALSE,,FALSE,
Mike Muscala,Mike Muscala,377,ATL,,FALSE,,FALSE,
Mike O'Neill,Mike O'Neill,378,ATL,,FALSE,,FALSE,
Mike Scott,Mike Scott,379,ATL,,FALSE,,FALSE,
Mike Sojourner,Mike Sojourner,380,ATL,,FALSE,,FALSE,
Mike Todorovich,Mike Todorovich,381,ATL,,FALSE,,FALSE,
Mike Wilks,Mike Wilks,382,ATL,,FALSE,,FALSE,
Mike Williams,Mike Williams,383,ATL,,FALSE,,FALSE,
Mikki Moore,Mikki Moore,384,ATL,,FALSE,,FALSE,
Miles Plumlee,Miles Plumlee,385,ATL,,FALSE,,FALSE,
Milt Williams,Milt Williams,386,ATL,,FALSE,,FALSE,
Mookie Blaylock,Mookie Blaylock,387,ATL,,FALSE,,FALSE,
Morlon Wiley,Morlon Wiley,388,ATL,,FALSE,,FALSE,
Moses Malone,Moses Malone,389,ATL,,FALSE,,FALSE,
Murray Wier,Murray Wier,390,ATL,,FALSE,,FALSE,
Nate DeLong,Nate DeLong,391,ATL,,FALSE,,FALSE,
Nazr Mohammed,Nazr Mohammed,392,ATL,,FALSE,,FALSE,
Nick Mantis,Nick Mantis,393,ATL,,FALSE,,FALSE,
